table,field,definition,data_type,unit,nullable,null_meaning,origin,source_field_or_derivation,valid_values,interpretation_warning
activity_id_aliases.csv,old_activity_id,Activity identifier assigned before cross-layer capital-project clustering.,text,,no,Never blank.,derived identifier,Pre-clustering activity_id.,tpa-*,Use new_activity_id for the current release.
activity_id_aliases.csv,new_activity_id,Current activity identifier after verified exact-name cross-layer capital clustering.,text,,no,Never blank.,derived identifier,Hash of the normalized capital-project name.,tpa-*,Several source records may map to this identifier.
activity_id_aliases.csv,cluster_basis,Rule used to replace the old activity identifier.,categorical text,,no,Never blank.,derived,Capital clustering rule.,connected_exact_normalized_project_names_across_capital_layers,"This is deterministic entity resolution, not universal master-project clustering."
activity_id_aliases.csv,cluster_key,Uppercase punctuation-normalized capital-project title used for clustering.,text,,no,Never blank.,derived,canonical_project_name(project_name).,Normalized title text.,Exact-name matching can still under-merge title variants.
activity_locations.csv,location_id,Stable key for one preserved source geometry.,text,,no,Never blank.,derived identifier,Hash of source-record key and source ordinal.,loc-*,An activity may have multiple locations.
activity_locations.csv,activity_id,Stable identifier for one normalized activity record; not a guaranteed master-project identifier.,text,,no,Never blank.,derived identifier,SHA-1-derived token from source family and native ID; invalid native IDs are isolated by source object.,tpa-*,Several activities may belong to one real development.
activity_locations.csv,source_record_key,Stable key for one source feature after privacy-field suppression.,text,,no,Never blank.,derived identifier,"Hash of source name, object/global IDs, and native record ID.",src-*,"Identifies a source feature, not a development."
activity_locations.csv,source_name,Machine-readable name of the originating City GIS layer.,text,,no,Never blank.,source metadata,Assigned from the extraction configuration.,construction_inspections; development_coordination; single_family_permits; historic_preservation; capital_*,"Layer names describe source systems, not ground-truth stages."
activity_locations.csv,source_record_id,"Native public record or project identifier supplied by the source, when available.",text,,yes,Blank means the source supplied no usable native identifier.,source,Source-specific record ID field.,Source-defined.,May be reused or missing in source data.
activity_locations.csv,source_object_id,ArcGIS OBJECTID for the source feature at retrieval time.,integer,,yes,Blank if the source omitted OBJECTID.,source,OBJECTID.,Non-negative integer.,ArcGIS OBJECTIDs are not guaranteed stable across republishing.
activity_locations.csv,geometry_type,GeoJSON geometry type supplied by the source.,categorical text,,yes,Blank means no geometry.,source,geometry.type.,Point; LineString; MultiLineString; Polygon; MultiPolygon.,Geometry types vary by layer.
activity_locations.csv,latitude,Latitude of the point feature or arithmetic centroid of the preserved source geometry.,decimal,degrees WGS84,yes,Blank means no geometry.,source/derived geometry,Point coordinate or average of geometry vertices.,Approximately 27.5 to 28.3.,Vertex-average centroids can fall outside complex line/polygon features.
activity_locations.csv,longitude,Longitude of the point feature or arithmetic centroid of the preserved source geometry.,decimal,degrees WGS84,yes,Blank means no geometry.,source/derived geometry,Point coordinate or average of geometry vertices.,Approximately -83.0 to -82.0.,Vertex-average centroids can fall outside complex line/polygon features.
activity_locations.csv,address,Site address reported by the source.,text,,yes,Blank means unavailable.,source,ADDRESS or FULLADDRESS.,Source-defined street address.,Public but potentially sensitive; aggregate person-focused analyses.
activity_locations.csv,unit,Unit or suite reported by the source.,text,,yes,Blank means unavailable or not applicable.,source,UNIT.,Source-defined.,Can increase re-identification risk.
activity_locations.csv,neighborhood,City neighborhood label reported by the source.,text,,yes,Blank means unavailable.,source,NEIGHBORHOOD/Neighborhood.,City-defined label.,Not spatially recomputed against a boundary vintage.
activity_locations.csv,cra,Community Redevelopment Area label reported by the source.,text,,yes,Blank means outside a reported CRA or unavailable; these are not distinguishable.,source,CRA.,City-defined label.,Blank must not automatically be interpreted as outside all CRAs.
activity_locations.csv,council_district,City Council district reported by the source.,text,,yes,Blank means unavailable.,source,COUNCIL/COUNCILDISTRICT.,Source-defined district.,District boundaries and assignments can change.
activity_locations.csv,geometry_geojson,Complete source geometry serialized as compact GeoJSON.,JSON text,,yes,Blank means no geometry.,source,Unmodified source geometry after WGS84 output request.,Valid GeoJSON geometry object.,Map geometry is not a legal survey.
activity_source_links.csv,activity_id,Stable identifier for one normalized activity record; not a guaranteed master-project identifier.,text,,no,Never blank.,derived identifier,SHA-1-derived token from source family and native ID; invalid native IDs are isolated by source object.,tpa-*,Several activities may belong to one real development.
activity_source_links.csv,source_record_key,Stable key for one source feature after privacy-field suppression.,text,,no,Never blank.,derived identifier,"Hash of source name, object/global IDs, and native record ID.",src-*,"Identifies a source feature, not a development."
activity_source_links.csv,source_name,Machine-readable name of the originating City GIS layer.,text,,no,Never blank.,source metadata,Assigned from the extraction configuration.,construction_inspections; development_coordination; single_family_permits; historic_preservation; capital_*,"Layer names describe source systems, not ground-truth stages."
activity_truth_status.csv,activity_id,Stable identifier for one normalized activity record; not a guaranteed master-project identifier.,text,,no,Never blank.,derived identifier,SHA-1-derived token from source family and native ID; invalid native IDs are isolated by source object.,tpa-*,Several activities may belong to one real development.
activity_truth_status.csv,physical_work_started,Whether qualifying evidence establishes that physical work started.,categorical text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,yes; no; unknown; not_applicable,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,physical_work_completed,Whether qualifying evidence establishes that physical work completed.,categorical text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,yes; no; unknown; not_applicable,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,certificate_of_occupancy_issued,Whether an official certificate-of-occupancy event is present.,categorical text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,yes; no; unknown; not_applicable,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,final_inspection_passed,Whether an official passed-final-inspection event is present.,categorical text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,yes; no; unknown; not_applicable,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,project_cancelled,"Whether an official cancelled, withdrawn, denied, or expired status is present.",categorical text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,yes; no; unknown; not_applicable,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,completion_date,"Date of the qualifying completion event, when one exists.",text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,verification_grade,Highest evidence-hierarchy grade supported by current evidence.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,A1; A2; A3; B1; B2; C; D; P; X; U,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,verification_basis,Machine-readable explanation for the evidence grade.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,verification_source,Source endpoint or evidence record used for the truth assessment.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,verification_date,Date on which the cited evidence was assessed or retrieved.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,verification_method,Method used to turn evidence into the truth-status fields.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,building_year_supporting_evidence,Whether a compatible building-year inference exists as non-dispositive support.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
activity_truth_status.csv,human_review_status,Status of required human ground-truth review.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
bounded_census_records.csv,universe_id,Stable identifier for one explicitly bounded published-source universe.,text,,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Source- or release-defined.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_records.csv,source_record_key,Stable key for one source feature after privacy-field suppression.,text,,no,Never blank.,derived identifier,"Hash of source name, object/global IDs, and native record ID.",src-*,"Identifies a source feature, not a development."
bounded_census_records.csv,source_name,Machine-readable name of the originating City GIS layer.,text,,no,Never blank.,source metadata,Assigned from the extraction configuration.,construction_inspections; development_coordination; single_family_permits; historic_preservation; capital_*,"Layer names describe source systems, not ground-truth stages."
bounded_census_records.csv,source_record_id,"Native public record or project identifier supplied by the source, when available.",text,,yes,Blank means the source supplied no usable native identifier.,source,Source-specific record ID field.,Source-defined.,May be reused or missing in source data.
bounded_census_records.csv,source_object_id,ArcGIS OBJECTID for the source feature at retrieval time.,integer,,yes,Blank if the source omitted OBJECTID.,source,OBJECTID.,Non-negative integer.,ArcGIS OBJECTIDs are not guaranteed stable across republishing.
bounded_census_records.csv,source_global_id,"ArcGIS GlobalID for the source feature, when supplied.",text,,yes,Blank if unavailable.,source,GlobalID.,UUID-like source value.,Source stability is not guaranteed by this dataset.
bounded_census_records.csv,activity_id,Stable identifier for one normalized activity record; not a guaranteed master-project identifier.,text,,no,Never blank.,derived identifier,SHA-1-derived token from source family and native ID; invalid native IDs are isolated by source object.,tpa-*,Several activities may belong to one real development.
bounded_census_records.csv,location_id,Stable key for one preserved source geometry.,text,,no,Never blank.,derived identifier,Hash of source-record key and source ordinal.,loc-*,An activity may have multiple locations.
bounded_census_records.csv,source_endpoint,Official ArcGIS service endpoint used to retrieve the contributing record.,URL,,no,Never blank for extracted records.,source metadata,Extraction configuration.,HTTPS URL.,Endpoint contents can change after the snapshot date.
bounded_census_records.csv,retrieved_at_utc,UTC timestamp when the source snapshot was assembled.,datetime,UTC,no,Never blank.,derived metadata,Build timestamp.,ISO 8601 timestamp.,"This is retrieval time, not activity time."
bounded_census_records.csv,geometry_type,GeoJSON geometry type supplied by the source.,categorical text,,yes,Blank means no geometry.,source,geometry.type.,Point; LineString; MultiLineString; Polygon; MultiPolygon.,Geometry types vary by layer.
bounded_census_records.csv,geometry_geojson,Complete source geometry serialized as compact GeoJSON.,JSON text,,yes,Blank means no geometry.,source,Unmodified source geometry after WGS84 output request.,Valid GeoJSON geometry object.,Map geometry is not a legal survey.
bounded_census_records.csv,properties_json,Source attributes serialized as JSON after configured contact/editor fields are removed.,JSON text,,yes,Blank only if a feature had no attributes.,source snapshot,All allowed source properties serialized without geometry.,Valid JSON object.,May contain other public attributes; inspect before person-level publication.
bounded_census_records.csv,record_inclusion_status,Whether the returned source feature is included in the census view.,categorical text,,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Source- or release-defined.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_records.csv,attribute_scope,Description of which source attributes are retained.,text,,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Source- or release-defined.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_summary.csv,bounded_census_id,Stable identifier for the combined eight-layer snapshot census.,text,,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Source- or release-defined.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_summary.csv,source_universe_count,Number of independently named source universes in the release.,integer,features,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Non-negative integer.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_summary.csv,published_feature_count,Total features returned across the named published layers.,integer,features,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Non-negative integer.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_summary.csv,included_feature_count,Total returned features included in the bounded census.,integer,features,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Non-negative integer.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_summary.csv,excluded_feature_count,Total returned features excluded from the bounded census.,integer,features,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Non-negative integer.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_summary.csv,record_coverage_status,Whether every feature returned by the published layer query was retained.,categorical text,,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,complete; incomplete,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_summary.csv,primary_unit,Primary unit to which the bounded-census claim applies.,text,,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Source- or release-defined.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_summary.csv,valid_claim,Coverage statement supported by the source counts.,text,,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Source- or release-defined.,Completeness is limited to records returned by the named layer at retrieval.
bounded_census_summary.csv,invalid_claim,Completeness statement outside the dataset's source boundary.,text,,no,Never blank.,derived census metadata,Direct count or description of the bundled paginated City ArcGIS snapshot.,Source- or release-defined.,Completeness is limited to records returned by the named layer at retrieval.
building_match_audit.csv,building_match_audit_id,Stable identifier for one building-match audit row.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
building_match_audit.csv,activity_id,Stable identifier for one normalized activity record; not a guaranteed master-project identifier.,text,,no,Never blank.,derived identifier,SHA-1-derived token from source family and native ID; invalid native IDs are isolated by source object.,tpa-*,Several activities may belong to one real development.
building_match_audit.csv,location_id,Stable key for one preserved source geometry.,text,,no,Never blank.,derived identifier,Hash of source-record key and source ordinal.,loc-*,An activity may have multiple locations.
building_match_audit.csv,building_object_id,ArcGIS OBJECTID of the matched City building-footprint feature.,integer,,yes,Blank is not used in the City-only release.,City building layer,OBJECTID.,Non-negative integer.,OBJECTID may change if the service is republished.
building_match_audit.csv,match_method,Rule that linked an activity location to a City building footprint.,categorical text,,no,Never blank.,derived,"Spatial containment, exact normalized address nearby, or nearest footprint threshold.",point_in_building_footprint; exact_address_nearby_footprint; nearest_footprint_within_35m,Methods await manual precision measurement.
building_match_audit.csv,match_confidence,Configured confidence tier for the building match method.,categorical text,,no,Never blank.,derived,High for containment/address; medium for nearest within 35 m.,high; medium,"This is heuristic confidence, not an empirical probability."
building_match_audit.csv,match_distance_m,Approximate distance between activity point and matched footprint reference point.,decimal,meters,no,Never blank; containment uses zero.,derived,"Haversine distance to footprint bounding-box center, except containment.",Non-negative number.,Distance to bounding-box center is not boundary distance.
building_match_audit.csv,normalized_address_agreement,Whether normalized activity and footprint addresses exactly agree.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
building_match_audit.csv,multiple_matched_buildings,Whether the activity has more than one matched footprint.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
building_match_audit.csv,geometry_check,Spatial rule used by the building match.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
building_match_audit.csv,historical_imagery_checked,Whether dated historical imagery was reviewed.,categorical text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,reviewer-entered,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
building_match_audit.csv,new_footprint_vs_addition,Reviewer judgment distinguishing a new footprint from an addition.,categorical text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,reviewer-entered,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
building_match_audit.csv,human_match_correct,Human judgment of building-match correctness.,categorical text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,reviewer-entered,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
building_match_audit.csv,reviewer_id,Reviewer-entered audit evidence or provenance.,text,,yes,Blank means not yet reviewed or not applicable.,reviewer-entered,See MANUAL_VALIDATION_PROTOCOL.md.,Protocol-defined.,Independent evidence URLs and reviewer provenance are required for completed judgments where specified.
building_match_audit.csv,reviewed_at_utc,UTC date or timestamp of the evidence review.,datetime,UTC,yes,Blank in the untouched manual sample; populated in completed pilot checks.,reviewer-entered,ISO 8601 UTC value.,ISO 8601 date or timestamp.,Evidence may change later.
building_match_audit.csv,evidence_url,Primary public URL supporting the verification judgment.,URL,,no,Never blank.,external evidence,Public-source review.,HTTP(S) URL.,Web content can change after the review date.
building_match_audit.csv,review_notes,Reviewer-entered audit evidence or provenance.,text,,yes,Blank means not yet reviewed or not applicable.,reviewer-entered,See MANUAL_VALIDATION_PROTOCOL.md.,Protocol-defined.,Independent evidence URLs and reviewer provenance are required for completed judgments where specified.
building_match_diagnostics.csv,match_method,Rule that linked an activity location to a City building footprint.,categorical text,,no,Never blank.,derived,"Spatial containment, exact normalized address nearby, or nearest footprint threshold.",point_in_building_footprint; exact_address_nearby_footprint; nearest_footprint_within_35m,Methods await manual precision measurement.
building_match_diagnostics.csv,match_confidence,Configured confidence tier for the building match method.,categorical text,,no,Never blank.,derived,High for containment/address; medium for nearest within 35 m.,high; medium,"This is heuristic confidence, not an empirical probability."
building_match_diagnostics.csv,match_count,"Workflow status, stratum count, or cited source for the table row.",text,,yes,Blank means unavailable or pending.,derived/source metadata,See the table-specific methodology documentation.,Table-defined.,Interpret only in the context of its table.
building_match_diagnostics.csv,exact_address_agreement_count,Rows in the stratum with exact normalized-address agreement.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
