record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-5a7589e8d54f04ae,CAPITAL_IMPROVEMENTS|NATIVE|WTR-25-0004|GLOBALID|{F4CE89AD-1B01-4C3E-B57E-45DD5AA07D82},src-233d2ff823c96c9d,tpa-ea50201a8b064c,capital_improvements,WTR-25-0004,2026-08-11,2026-08,source_record_created,created_date,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,30% Design Completion,South Howard Water Improvement Project,Water,,Historic Hyde Park,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR-25-0004.pdf
rec-e1181993380bc61d,CAPITAL_IMPROVEMENTS|GLOBALID|{1835E86F-0335-44E3-8803-54E051EC52E9},src-7802257b9057e0bb,tpa-2695ad6313af38,capital_improvements,,2026-08-12,2026-08,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Construction in Progress,Cass St Drawbridge Improvements,Transportation,,Julian B Lane Riverfront Park,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f
rec-e7633e561e3a939e,CAPITAL_IMPROVEMENTS|NATIVE|1002467,src-309b1c3590a2953d,tpa-171058db0c4c5c,capital_improvements,1002467,2026-08-01,2026-08,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Construction in Progress,Wastewater Pumping Station Rehabilitation Prescott PS,Wastewater,,"Port Tampa City, Inc. Civic Association",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002467.pdf
rec-368e90037743d095,CAPITAL_LOCATIONS_LINE|NATIVE|1002016.2,src-c85c4ca2b4c47637,tpa-353afe88aec810,capital_locations_line,1002016.2,2026-08-01,2026-08,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Sherwood Heights PS FM Relocation,Wastewater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/1
rec-b8c62c2bf925734b,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20187,src-d2a5fb7cafc135a2,tpa-2695ad6313af38,capital_locations_line,TRANS20187,2026-08-12,2026-08,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Construction in Progress,Cass St Drawbridge Improvements,Transportation,,"Downtown River Arts Neighborhood Association, Julian B Lane Riverfront Park",https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/1
rec-00b90c93e06a7387,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-26-0445751,,,construction_inspections,BDE-26-0445751,2026-08-11,2026-08,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-09-01,2026-09,2026-09-01,2026-09,2026-09-01,2026-09,1,1,Issued,DEMO SFR,Residential Demolition Permit,3915 E Powhatan Ave,Live Oaks Square,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=025UJ&agencyCode=TAMPA
rec-06f3b08b43f8f860,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-26-0445754,src-01a9f26b35705aae,tpa-d46418fc820563,construction_inspections,BDE-26-0445754,2026-08-13,2026-08,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,Demo SFR,Residential Demolition Permit,4507 N 15th St,Historic Belmont Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=0269R&agencyCode=TAMPA
rec-224b9d1921805bd6,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-26-0445756,,,construction_inspections,BDE-26-0445756,2026-08-13,2026-08,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-09-01,2026-09,2026-09-01,2026-09,2026-09-01,2026-09,1,1,Issued,Demo SFR and Sheds,Residential Demolition Permit,100 Huron Ave,Davis Islands,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=026GT&agencyCode=TAMPA
rec-2854de40087c8437,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-26-0445734,src-87212bca8f840945,tpa-b4e6bd7c37719a,construction_inspections,BDE-26-0445734,2026-08-05,2026-08,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,FEMA: Demo SFR,Residential Demolition Permit,4315 S Hubert Ave,FairOaks Manhattan,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=02440&agencyCode=TAMPA
rec-2c95aee1f01f3034,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-26-0445783,,,construction_inspections,BDE-26-0445783,2026-08-25,2026-08,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-09-01,2026-09,2026-09-01,2026-09,2026-09-01,2026-09,1,1,Issued,DEMO SFR,Residential Demolition Permit,709 N Gilchrist Ave,West Riverfront Neighborhood Crimewatch Association,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=029ZM&agencyCode=TAMPA
